01_PortLocation,02_PortName,03_PortAuth,04_PortAddress,05_PortPhone,06_PortFax,07_Port800Num,08_PortEmail,09_PortWeb,10_PortLat,11_PortLong,12_PortLOCODE,13_PortType,14_PortSize,LAT,LONGS
Tenes,Port of Tenes,Entreprise Portuaire de Tenes,BP 18Tenes 02200Algeria,213 27 767276,213 27 766589,NAN,asiporttenes@yahoo.fr,NAN,"36° 31' 26"" N","1° 19' 8"" E",DZTEN,Harbor,Small,36.52388888888889,1.3188888888888888
Ambriz,Port of Ambriz,Ambriz Port Authority,CP 30Marine Port AuthorityCabindaAngola,NAN,NAN,NAN,NAN,NAN,"7° 50' 0"" S","13° 6' 4"" E",AOAZZ,"Pier, Jetty or Wharf",Very Small,-7.833333333333333,13.101111111111111
Cabinda,Port of Cabinda,Autoridade Portuaria de Cabinda,CP 68CabindaAngola,244 231 222464,244 231 222464,NAN,NAN,NAN,"5° 33' 0"" S","12° 11' 39"" E",AOCAB,"Pier, Jetty or Wharf",Very Small,-5.55,12.194166666666668
Fouta,Takula Terminal,NAN,Angola,NAN,NAN,NAN,NAN,NAN,"5° 13' 0"" S","11° 46' 59"" E",AOTAK,Off-Shore Terminal,Very Small,-5.216666666666667,11.783055555555556
Futila,Futila Terminal,NAN,FutilaAngola,NAN,NAN,NAN,NAN,NAN,"5° 27' 0"" S","12° 10' 59"" E",NAN,Off-Shore Terminal,Very Small,-5.45,12.183055555555555
Lobito,Port of Lobito,"Empresa Portuaria Do Lobito , E.P.",Avenida da IndependenciaCP 16LobitoAngola,244 722 23439,244 272 222719,NAN,NAN,NAN,"12° 20' 13"" S","13° 34' 15"" E",AOLOB,Deepwater Seaport,Medium,-12.336944444444445,13.570833333333333
Malongo,Malongo Terminal,NAN,MalongoAngola,NAN,NAN,NAN,NAN,NAN,"5° 27' 34"" S","12° 1' 25"" E",AOMAL,Off-Shore Terminal,Very Small,-5.459444444444444,12.023611111111112
Malongo,Port of Malongo,Cabinda Gulf Oil Company Ltd. (CABGOC),MalongoAngola,+244 2 391141,+244 2 391391,NAN,amrmr@chevron.com,www.otal.com/angola,"5° 23' 48"" S","12° 11' 47"" E",AOMAL,"Pier, Jetty or Wharf",Very Small,-5.396666666666667,12.196388888888889
Manga Grande,Lombo Marine Terminal,NAN,Angola,NAN,NAN,NAN,NAN,NAN,"6° 49' 59"" S","12° 22' 0"" E",NAN,Off-Shore Terminal,Very Small,-6.833055555555555,12.366666666666667
Namibe,Port of Namibe,Empresa Portuaria do Namibe,CP 16NamibeAngola,244 222 390034,244 217 653435,NAN,NAN,www.otal.com/angola,"15° 11' 37"" S","12° 8' 12"" E",AOMSZ,Harbor,Small,-15.193611111111112,12.136666666666667
Nzeto,Kiabo Marine Terminal,NAN,Angola,NAN,NAN,NAN,NAN,NAN,"7° 19' 59"" S","12° 34' 59"" E",NAN,Off-Shore Terminal,Very Small,-7.333055555555555,12.583055555555555
Nzeto,Kiame Marine Terminal,NAN,NzetoAngola,NAN,NAN,NAN,NAN,NAN,"7° 19' 59"" S","12° 22' 59"" E",NAN,Off-Shore Terminal,Very Small,-7.333055555555555,12.383055555555556
Porto Amboim,Port of Porto Amboim,Porto Amboim Port Authority,Porto AmboimAngola,NAN,NAN,NAN,NAN,NAN,"10° 44' 52"" S","13° 44' 4"" E",AOPBN,"Pier, Jetty or Wharf",Small,-10.747777777777777,13.734444444444444
Quinzau,Palanca Terminal	,NAN,Angola,NAN,NAN,NAN,NAN,NAN,"6° 58' 0"" S","12° 24' 0"" E",AOPAT,Off-Shore Terminal,Very Small,-6.966666666666667,12.4
Soyo,Port of Soyo,Fina Petroleos de Angola,SoyoAngola,+244 2 390148,+244 2 391031,NAN,NAN,www.otal.com/angola,"6° 7' 17"" S","12° 19' 21"" E",AOSZA,Harbor,Small,-6.121388888888888,12.3225
The Valley,Port of The Valley,NAN,The ValleyAnguilla,NAN,NAN,NAN,NAN,NAN,"18° 11' 52"" N","63° 5' 36"" W",AIVAL,"Pier, Jetty or Wharf",Small,18.197777777777777,-63.093333333333334
Saint John's,Saint John's Harbour,Antigua Port Authority,"Deep Water HarbourP.O. Box 1052St. John's, Antigua IslandAntigua and Barbuda",268-462-1144,268-462-1144,NAN,anport@candw.ag,www.ab.gov.ag,"17° 7' 22"" N","61° 51' 13"" W",NAN,Harbor,Small,17.122777777777777,-61.853611111111114
Atucha,Port of Atucha,NAN,AtuchaArgentina,NAN,NAN,NAN,NAN,NAN,"33° 57' 49"" S","59° 11' 51"" W",ARATU,River Port,Small,-33.96361111111111,-59.1975
Barranqueras,Port of Barranqueras,Av. Rio Parana s/n,"Barranqueras, Chaco 3503Argentina",54 03722-480216,NAN,NAN,puertobqras@arnet.com.ar,www.consejoportuario.com.ar,"27° 29' 23"" S","58° 55' 32"" W",ARBQS,River Port,Small,-27.489722222222223,-58.925555555555555
General Lagos,Port of General Lagos,NAN,General LagosArgentina,NAN,NAN,NAN,NAN,NAN,"33° 4' 55"" S","60° 33' 1"" W",NAN,River Port,Small,-33.081944444444446,-60.55027777777777
Ingeniero Buitrango,Port of Ingeniero Buitrango,NAN,Ingeniero BuitrangoArgentina,NAN,NAN,NAN,NAN,NAN,"33° 27' 9"" S","60° 2' 33"" W",NAN,River Port,Small,-33.4525,-60.0425
Puerto Acevedo,Puerto Acevedo,NAN,Puerto AcevedoArgentina,NAN,NAN,NAN,NAN,NAN,"33° 15' 9"" S","60° 17' 14"" W",NAN,River Port,Small,-33.2525,-60.28722222222222
Puerto Belgrano	,Puerto Belgrano	,NAN,Puerto Belgrano	Argentina,NAN,NAN,NAN,NAN,NAN,"38° 53' 40"" S","62° 6' 5"" W",ARPBG,Harbor,Small,-38.894444444444446,-62.10138888888889
Puerto Galvan,Puerto Galvan,NAN,Puerto GalvanArgentina,NAN,NAN,NAN,NAN,NAN,"38° 46' 59"" S","62° 18' 3"" W",ARPGV,Seaport,Small,-38.783055555555556,-62.30083333333333
Puerto Ingeniero White,Puerto Ingeniero White,NAN,Puerto Ingeniero WhiteArgentina,NAN,NAN,NAN,NAN,NAN,"38° 47' 31"" S","62° 15' 56"" W",NAN,Seaport,Small,-38.79194444444444,-62.26555555555556
Puerto Madryn,Puerto Madryn,Puerto Madryn Administracion Porturia,"Muelle Alte. Storni, Ruta Provincial No 1Madryn, Chubut 9120Argentina",02965 451-400,02965 458-914,NAN,NAN,www.appm.com.ar,"42° 44' 10"" S","65° 2' 0"" W",ARPMY,"Pier, Jetty or Wharf",Very Small,-42.736111111111114,-65.03333333333333
Puerto Martins,Puerto Martins,NAN,Puerto MartinsArgentina,NAN,NAN,NAN,NAN,NAN,"33° 26' 38"" S","60° 3' 30"" W",NAN,River Port,Very Small,-33.443888888888885,-60.05833333333333
Puerto Parana,Puerto Parana,NAN,Puerto ParanaArgentina,NAN,NAN,NAN,NAN,NAN,"31° 42' 43"" S","60° 32' 2"" W",ARPRA,River Port,Small,-31.711944444444445,-60.53388888888889
Puerto Santa Cruz,Puerto Santa Cruz,NAN,Santa CruzArgentina,NAN,NAN,NAN,NAN,NAN,"50° 1' 11"" S","68° 31' 12"" W",ARRZA,"Pier, Jetty or Wharf",Very Small,-50.01972222222222,-68.52
Punta Colorada,Punta Colorada,NAN,Punta ColoradaArgentina,NAN,NAN,NAN,NAN,NAN,"41° 41' 48"" S","65° 0' 59"" W",ARPCO,"Pier, Jetty or Wharf",Very Small,-41.696666666666665,-65.01638888888888
Punta Loyola,Punta Loyola,NAN,Punta LoyolaArgentina,NAN,NAN,NAN,NAN,NAN,"51° 36' 40"" S","69° 0' 35"" W",ARPLO,"Pier, Jetty or Wharf",Small,-51.611111111111114,-69.00972222222222
Rio Cullen,Rio Cullen Marine Terminal,NAN,Rio CullenArgentina,NAN,NAN,NAN,NAN,NAN,"52° 53' 29"" S","68° 20' 20"" W",NAN,Off-Shore Terminal,Very Small,-52.89138888888889,-68.33888888888889
Rosario,Puerto Rosario Ente Administrador (ENAPRO),Ente Administrador Port Rosary,Av. Belgrano 341Rosario 2000Argentina,(0341) 4487105,(0341) 4485010,NAN,NAN,NAN,"32° 58' 27"" S","60° 37' 6"" W",ARROS,River Port,Small,-32.97416666666667,-60.61833333333333
San Antonio Oeste,Port of San Antonio Oeste,NAN,"San Antonio Oeste, Rio NegroArgentina",NAN,NAN,NAN,NAN,NAN,"40° 47' 53"" S","64° 53' 7"" W",AROES,"Pier, Jetty or Wharf",Very Small,-40.79805555555556,-64.88527777777779
Barcadera,Port of Barcadera,Aruba Ports Authority N.V.,Port Administration BuildingL.G. Smith Blvd. # 23OranjestadAruba,(297) 582-6633,(297) 583-2896,NAN,NAN,www.arubaports.com,"12° 28' 47"" N","69° 59' 51"" W",AWBAR,Harbor,Small,12.479722222222222,-69.9975
Abbot Point,Port of Abbot Point,North Queensland Bulk Ports Corporation Limited,"Level 24, 300 Queen StreetGPO Box 409Brisbane, Queensland 4001Australia",61 7 3224 7088,61 7 3224 71234,NAN,info@nqbp.com.au,www.nqbp.com.au,"19° 52' 57"" S","148° 4' 39"" E",AUABP,"Pier, Jetty or Wharf",Very Small,-19.8825,148.0775
Airlie Island,Port of Airlie Island,NAN,Airlie IslandAustralia,NAN,NAN,NAN,NAN,NAN,"21° 19' 24"" S","115° 10' 3"" E",AUAIR,"Pier, Jetty or Wharf",Very Small,-21.323333333333334,115.1675
Albany,Port of Albany,Albany Port Authority,"85 Brunswick RoadAlbany, Western Australia 6330Australia",61 8 9892 9000,61 8 9841 7566,NAN,apa@albanyport.com.au,www.albanyport.com.au,"35° 1' 54"" S","117° 53' 19"" E",AUALH,Deepwater Seaport,Small,-35.031666666666666,117.88861111111112
Ardossan,Port of Ardossan,ABB Grain,"Old Boat Ramp RoadArdossan, South Australia 5571Australia",08 8837 3306,08 8837 3639,NAN,NAN,abb.com.au,"34° 26' 16"" S","137° 55' 10"" E",AUARD,"Pier, Jetty or Wharf",Very Small,-34.437777777777775,137.91944444444442
Ballast Head,Port of Ballast Head,Ballast Head Port Authority,"PO Box 58c/o CSR Building MaterialRosewater East, SA 5013Australia",61 8 8348 1400,61 8 8348 1423,NAN,NAN,NAN,"35° 45' 26"" S","137° 48' 6"" E",AUBAH,"Pier, Jetty or Wharf",Very Small,-35.757222222222225,137.80166666666668
Barrow Island,Port of Barrow Island,NAN,Barrow IslandAustralia,NAN,NAN,NAN,NAN,NAN,"20° 43' 33"" S","115° 28' 24"" E",AUBWB,"Pier, Jetty or Wharf",Very Small,-20.72583333333333,115.47333333333333
Beauty Point,Beauty Point Harbour,NAN,Beauty PointAustralia,NAN,NAN,NAN,NAN,NAN,"41° 9' 16"" S","146° 49' 23"" E",AULST,Harbor,Small,-41.154444444444444,146.82305555555556
Bell Bay,Port of Bell Bay,Tasmanian Ports Corporation Pty Ltd,"Mobil Road, Bell BayPO Box 257CLaunceston, Tasmania 7250Australia",61 3 6382 0111,61 3 6382 1695,NAN,bellbay@tasports.com.au,www.tasports.com.au,"41° 8' 13"" S","146° 51' 36"" E",AUBEL,Seaport,Small,-41.136944444444445,146.85999999999999
Bing Bong,Port of Bing Bong,NAN,Bing BongAustralia,NAN,NAN,NAN,NAN,NAN,"15° 37' 39"" S","136° 23' 21"" E",AUBBG,"Pier, Jetty or Wharf",Very Small,-15.627500000000001,136.38916666666665
Bowen,Port of Bowen,NAN,BowenAustralia,NAN,NAN,NAN,NAN,NAN,"20° 1' 15"" S","148° 15' 3"" E",AUZBO,"Pier, Jetty or Wharf",Very Small,-20.020833333333332,148.25083333333333
Broome,Port of Broome,NAN,"401 Port DrivePO Box 46Broome, WA 6725Australia",61 8 9192 1304,61 8 9192 1778,NAN,info@broomeport.com,www.broomeport.com,"18° 0' 9"" S","122° 12' 52"" E",AUBME,"Pier, Jetty or Wharf",Very Small,-18.0025,122.21444444444445
Bunbury,Port of Bunbury,Bunbury Port Authority,"PO Box 4Bunbury, WA 6231Australia",+618 (08) 9721 2800,+618 (08) 9721 8253,NAN,byport@byport.com.au,www.byport.com.au,"33° 18' 55"" S","115° 39' 7"" E",AUBUY,Seaport,Small,-33.31527777777777,115.65194444444445
Bundaberg,Port of Bundaberg,Port of Brisbane Corporation,"45 Wharf DriveBurnett Heads, QLD 4670Australia",61 7 4130 2200,61 7 4159 4655,NAN,info@portofbundaberg.com.au,www.portofbundaberg.com.au,"24° 46' 2"" S","152° 23' 29"" E",AUBDB,Seaport,Small,-24.76722222222222,152.39138888888888
Burketown,Port of Burketown,Far North Queensland Ports Corporation Limited,"Cnr Grafton and Hartley StreetsCairns, Queensland 4870Australia",61 7 4052 3888,61 7 4052 3853,NAN,enquiries@portsfnq.com.au,www.cairnsports.com.au,"17° 33' 13"" S","139° 44' 26"" E",NAN,"Pier, Jetty or Wharf",Very Small,-17.553611111111113,139.74055555555555
Burnie,Port of Burnie,Tasmanian Ports Corporation Pty Ltd,"19-20 Marine TerracePO Box 216Burnie, Tasmania 7320Australia",+61 3 6434 7300,+61 3 6434 7373,NAN,burnie@tasports.com.au,www.tasports.com.au,"41° 3' 10"" S","145° 54' 46"" E",AUBWT,Harbor,Small,-41.05277777777778,145.9127777777778
Busselton,Port of Busselton,NAN,BusseltonAustralia,NAN,NAN,NAN,NAN,NAN,"33° 38' 16"" S","115° 20' 25"" E",AUBUS,"Pier, Jetty or Wharf",Very Small,-33.63777777777778,115.34027777777777
Cairns,Cairns Seaport,Far North Queensland Ports Corporation Limited,"Grafton & Hartley StreetsPO Box 594Cairns, Queensland 4870Australia",+61 7 40523888,+61 7 40521493,NAN,enquiries@portsfnq.com.au,www.cairnsport.com.au,"16° 55' 47"" S","145° 46' 50"" E",AUCNS,Seaport,Small,-16.929722222222225,145.78055555555557
Cape Cuvier,Port of Cape Cuvier,NAN,Cape CuvierAustralia,NAN,NAN,NAN,NAN,NAN,"24° 13' 19"" S","113° 23' 42"" E",AUCCU,"Pier, Jetty or Wharf",Very Small,-24.221944444444443,113.39500000000001
Cape Flattery,Port of Cape Flattery,Far North Queensland Ports Corporation Limited,"Cnr Grafton and Hartley StreetsCairns, Queensland 4870Australia",61 7 4052 3888,61 7 4052 3853,NAN,enquiries@portsfnq.com.au,www.cairnsports.com.au,"14° 59' 3"" S","145° 21' 10"" E",AUCQP,"Pier, Jetty or Wharf",Very Small,-14.984166666666665,145.35277777777776
Cape Jervis,Port of Cape Jervis,NAN,Cape JervisAustralia,NAN,NAN,NAN,NAN,NAN,"35° 36' 21"" S","138° 5' 39"" E",NAN,Harbor,Very Small,-35.60583333333334,138.09416666666667
Carnarvon,Port of Carnarvon,NAN,CarnarvonAustralia,NAN,NAN,NAN,NAN,NAN,"24° 53' 42"" S","113° 38' 54"" E",NAN,Harbor,Small,-24.895,113.64833333333334
Catherine Hill Bay,Port of Catherine Hill Bay,Coal Operations Australia Ltd,"Flowers DriveCatherine Hill Bay, NSW 2285Australia",61 2 4976 2799,61 2 4976 2609,NAN,NAN,NAN,"33° 9' 36"" S","151° 37' 55"" E",AUCHB,"Pier, Jetty or Wharf",Very Small,-33.16,151.63194444444446
Coffs Harbour,Coffs Harbour,NAN,Coffs HarbourAustralia,NAN,NAN,NAN,NAN,NAN,"30° 18' 27"" S","153° 8' 46"" E",AUCFS,Harbor,Small,-30.3075,153.1461111111111
Cooktown,Port of Cooktown,Far North Queensland Ports Corporation Limited,"Cnr Grafton and Hartley StreetsCairns, Queensland 4870Australia",61 7 4052 3888,61 7 4052 3853,NAN,enquiries@portsfnq.com.au,www.cairnsports.com.au,"15° 27' 35"" S","145° 14' 59"" E",NAN,"Pier, Jetty or Wharf",Very Small,-15.459722222222222,145.2497222222222
Crib Point,Port of Crib Point,NAN,Crib PointAustralia,NAN,NAN,NAN,NAN,NAN,"38° 21' 45"" S","145° 13' 37"" E",NAN,"Pier, Jetty or Wharf",Very Small,-38.362500000000004,145.22694444444446
Currie,Port of Currie,Tasmanian Ports Corporation Pty Ltd,"48 Formby RoadPO Box 478Devonport, Tasmania 7310Australia",61 3 6421 4911,61 3 6421 4988,NAN,secretary@tasports.com.au,www.tasports.com.au,"39° 55' 33"" S","143° 50' 28"" E",NAN,"Pier, Jetty or Wharf",Very Small,-39.92583333333333,143.84111111111113
Dampier,Port of Dampier,Dampier Port Authority,"PO Box 285Dampier, Western Australia 6713Australia",8 9159 6555,8 9159 6557,NAN,info@dpa.wa.gov.au,www.dpa.wa.gov.au,"20° 38' 48"" S","116° 41' 42"" E",AUDAM,"Pier, Jetty or Wharf",Very Small,-20.646666666666665,116.69500000000001
Derby,Port of Derby,NAN,"Derby, Western AustraliaAustralia",NAN,NAN,NAN,NAN,NAN,"17° 17' 32"" S","123° 36' 29"" E",NAN,"Pier, Jetty or Wharf",Very Small,-17.292222222222225,123.60805555555555
Devonport,Port of Devonport,Tasmanian Ports Corporation Pty Ltd,"48 Formby RoadPO Box 478Devonport, Tasmania 7310Australia",61 3 6421 4911,61 3 6421 4988,NAN,secretary@tasports.com.au,www.tasports.com.au,"41° 11' 5"" S","146° 21' 53"" E",AUDPO,Harbor,Small,-41.18472222222222,146.3647222222222
Dover,Dover Harbor,NAN,DoverAustralia,NAN,NAN,NAN,NAN,NAN,"43° 19' 7"" S","147° 1' 21"" E",NAN,"Pier, Jetty or Wharf",Very Small,-43.31861111111112,147.0225
Echuca,Port of Echuca,NAN,52 Murray Esplanade EchucaVictoria 3564Australia,+61 3 5482 4248,+61 3 5482 6951,NAN,port@portofechuca.org.au,www.portofechuca.org.au,"36° 7' 7"" S","144° 44' 56"" E",AUECH,River Port,Very Small,-36.118611111111115,144.74888888888887
Eden,Port of Eden,NSW Maritime Authority,"PO Box 137Eden, New South Wales 2551Australia",61 2 6496 1719,61 2 6496 3024,NAN,edenpilot@maritime.nsw.gov.au,www.eden.nsw.gov.au,"37° 4' 19"" S","149° 54' 30"" E",AUQDN,Off-Shore Terminal,Small,-37.07194444444445,149.90833333333333
Esperance,Esperance Port Authority,Esperance Port Authority,"PO Box 35Esperance, Western Australia 6450Australia",(08) 9071 2111,(08) 9071 1312,NAN,esppa@esperanceport.com.au,www.esperanceport.com.au,"33° 52' 19"" S","121° 53' 57"" E",AUEPR,Seaport,Small,-33.871944444444445,121.89916666666667
Exmouth,Port of Exmouth,NAN,ExmouthAustralia,NAN,NAN,NAN,NAN,NAN,"21° 57' 17"" S","114° 8' 9"" E",AUPEX,Harbor,Very Small,-21.954722222222223,114.13583333333334
Finucane Island,Port of Finucane Island,BHP Billiton,Finucane IslandAustralia,NAN,NAN,NAN,NAN,NAN,"20° 18' 39"" S","118° 33' 53"" E",NAN,Seaport,Medium,-20.310833333333335,118.56472222222222
Fisherman Islands,Port of Fisherman Islands,NAN,Fisherman IslandsAustralia,NAN,NAN,NAN,NAN,NAN,"27° 26' 41"" S","153° 4' 29"" E",AUFIS,Seaport,Small,-27.44472222222222,153.07472222222222
George Town,Port of George Town,NAN,George TownAustralia,NAN,NAN,NAN,NAN,NAN,"41° 6' 35"" S","146° 49' 20"" E",AUGEE,Harbor,Very Small,-41.109722222222224,146.82222222222222
Geraldton,Port of Geraldton,Geraldton Port Authority,"298 Marine TerraceGeraldton, WA 6530Australia",61 8 99 640 520,61 8 99 640 555,NAN,mail@gpa.wa.gov.au,www.gpa.wa.gov.au,"28° 46' 22"" S","114° 36' 4"" E",AUGET,Seaport,Small,-28.772777777777776,114.60111111111111
Grassy,Port of Grassy,Tasmanian Ports Corporation Pty Ltd,"48 Formby RoadPO Box 478Devonport, Tasmania 7310Australia",61 3 6421 4911,61 3 6421 4988,NAN,secretary@tasports.com.au,www.tasports.com.au,"40° 3' 53"" S","144° 3' 45"" E",AUGRA,Harbor,Very Small,-40.06472222222222,144.0625
Hastings,Port of Hastings,NAN,HastingsAustralia,NAN,NAN,NAN,NAN,NAN,"38° 18' 24"" S","145° 13' 36"" E",AUHAS,Seaport,Small,-38.306666666666665,145.22666666666666
Hay Point,Port of Hay Point,North Queensland Bulk Ports Corporation Limited,"Level 24, 300 Queen StreetGPO Box 409Brisbane, Queensland 4001Australia",61 7 3224 7088,61 7 3224 71234,NAN,info@nqbp.com.au,www.nqbp.com.au,"21° 16' 6"" S","149° 18' 4"" E",NAN,"Pier, Jetty or Wharf",Small,-21.26833333333333,149.3011111111111
Hobart,Port of Hobart,Tasmanian Ports Corporation Pty Ltd,"GPO Box 202Hobart, Tasmania 7001Australia",+61 3 6235 1000,+61 3 6231 0693,NAN,hobart@tasports.com.au,www.tasports.com.au,"42° 52' 49"" S","147° 20' 14"" E",AUHBA,Harbor,Small,-42.88027777777778,147.33722222222224
Innisfail,Port of Innisfail,NAN,InnisfailAustralia,NAN,NAN,NAN,NAN,NAN,"17° 31' 26"" S","146° 1' 58"" E",AUIFL,River Port,Very Small,-17.523888888888887,146.0327777777778
Karumba,Port of Karumba,Far North Queensland Ports Corporation Limited,"Cnr Grafton and Hartley StreetsCairns, Queensland 4870Australia",61 7 4052 3888,61 7 4052 3853,NAN,enquiries@portsfnq.com.au,www.cairnsports.com.au,"17° 29' 22"" S","140° 50' 0"" E",AUKRB,River Port,Small,-17.489444444444445,140.83333333333334
Kingscote,Port of Kingscote,NAN,KingscoteAustralia,NAN,NAN,NAN,NAN,NAN,"35° 39' 18"" S","137° 38' 35"" E",AUKGC,"Pier, Jetty or Wharf",Very Small,-35.655,137.64305555555555
Klein Point,Klein Point,Flinders Ports Pty Ltd,"296 St Vincent StreetPort Adelaide, South Australia 5015Australia",+61 8 8447 0611,+61 8 8447 0606,NAN,flindersports@flindersports.com.au,www.flindersports.com.au,"34° 57' 39"" S","137° 46' 28"" E",AUKLP,"Pier, Jetty or Wharf",Very Small,-34.96083333333333,137.77444444444447
Koolan Island,Port of Koolan Island,BHP Minerals Ltd,"Koolan IslandYampi, WA 6733Australia",61 8 9191 0584,61 8 9191 0584,NAN,NAN,NAN,"16° 8' 48"" S","123° 44' 59"" E",AUKOI,"Pier, Jetty or Wharf",Very Small,-16.146666666666665,123.74972222222222
Kwinana,Port of Kwinana,NAN,KwinanaAustralia,NAN,NAN,NAN,NAN,NAN,"32° 14' 9"" S","115° 45' 30"" E",AUKWI,Seaport,Small,-32.23583333333333,115.75833333333334
Lady Barron,Port of Lady Barron,Tasmanian Ports Corporation Pty Ltd,"48 Formby RoadPO Box 478Devonport, Tasmania 7310Australia",61 3 6421 4911,61 3 6421 4988,NAN,secretary@tasports.com.au,www.tasports.com.au,"40° 12' 51"" S","148° 14' 34"" E",AULAB,"Pier, Jetty or Wharf",Small,-40.21416666666667,148.24277777777777
Long Reach,Port of Long Reach,NAN,Long ReachAustralia,NAN,NAN,NAN,NAN,NAN,"41° 9' 53"" S","146° 55' 37"" E",NAN,"Pier, Jetty or Wharf",Small,-41.164722222222224,146.92694444444444
Lucinda,Port of Lucinda,Port of Townsville Limited,"Administration BuildingBenwell RoadSouth Townsville, Queensland 4810Australia",NAN,NAN,NAN,NAN,www.townsville-port.com.au,"18° 31' 28"" S","146° 21' 3"" E",AULUC,"Pier, Jetty or Wharf",Very Small,-18.524444444444445,146.35083333333333
Mackay,Mackay Seaport,Mackay Port Authority,"PO Box 3340North Mackay, Queensland 4740Australia",61 7 4955 8155,61 7 4955 2868,NAN,info@nqbp.com.au,www.nqbp.com.au,"21° 6' 30"" S","149° 13' 40"" E",AUMKY,Harbor,Small,-21.108333333333334,149.2277777777778
Maryborough,Port of Maryborough,North Queensland Bulk Ports Corporation Limited,"Level 24, 300 Queen StreetGPO Box 409Brisbane, Queensland 4001Australia",61 7 3224 7088,61 7 3224 7088,NAN,info@nqbp.com.au,www.nqbp.com.au,"25° 17' 42"" S","152° 54' 34"" E",AUMBH,Harbor,Small,-25.295,152.90944444444446
